models,mean_acc,mean_bacc,mean_mcc,mean_auc,mean_prauc,out_dir
rf+svm,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.9807692307692308,0.9712514583708562,./sweep_svm_all/stack_svm__rf__svm
rf+logreg,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.981656804733728,0.9714939147108737,./sweep_svm_all/stack_svm__rf__logreg
extratrees+rf+svm,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.9813609467455622,0.9714550422434298,./sweep_svm_all/stack_svm__extratrees__rf__svm
extratrees+svm+logreg,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.9896449704142011,0.9937598697598696,./sweep_svm_all/stack_svm__extratrees__svm__logreg
rf+svm+knn,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.9831360946745562,0.9726711763397482,./sweep_svm_all/stack_svm__rf__svm__knn
rf+svm+logreg,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.9822485207100591,0.9720092639321052,./sweep_svm_all/stack_svm__rf__svm__logreg
rf+knn+logreg,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.9789940828402367,0.97418296247135,./sweep_svm_all/stack_svm__rf__knn__logreg
extratrees+rf+svm+logreg,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.9813609467455621,0.9714154833383246,./sweep_svm_all/stack_svm__extratrees__rf__svm__logreg
rf+svm+knn+logreg,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.9748520710059172,0.9646469300458935,./sweep_svm_all/stack_svm__rf__svm__knn__logreg
extratrees+rf+svm+knn+logreg,0.9846153846153847,0.9846153846153847,0.9698003589195011,0.981656804733728,0.9751978210463589,./sweep_svm_all/stack_svm__extratrees__rf__svm__knn__logreg
extratrees+svm,0.9807692307692308,0.9807692307692308,0.9625142891441362,0.9914201183431952,0.9943053243053243,./sweep_svm_all/stack_svm__extratrees__svm
extratrees+rf+logreg,0.9807692307692308,0.9807692307692308,0.9625142891441362,0.9828402366863905,0.9758170160927986,./sweep_svm_all/stack_svm__extratrees__rf__logreg
extratrees+rf+svm+knn,0.9807692307692308,0.9807692307692308,0.9625142891441362,0.978698224852071,0.976580398368786,./sweep_svm_all/stack_svm__extratrees__rf__svm__knn
extratrees+rf+knn+logreg,0.9807692307692308,0.9807692307692308,0.9625142891441362,0.9863905325443788,0.9921791847974359,./sweep_svm_all/stack_svm__extratrees__rf__knn__logreg
extratrees+knn+logreg+xgboost,0.9807692307692308,0.9807692307692308,0.9625142891441362,0.9801775147928995,0.9788438284544043,./sweep_svm_all/stack_svm__extratrees__knn__logreg__xgboost
extratrees+rf+knn+logreg+xgboost,0.9807692307692308,0.9807692307692308,0.9625142891441362,0.98698224852071,0.991965058344179,./sweep_svm_all/stack_svm__extratrees__rf__knn__logreg__xgboost
extratrees+svm+knn+logreg+xgboost,0.9807692307692308,0.9807692307692308,0.9625142891441362,0.9807692307692308,0.9747782005665879,./sweep_svm_all/stack_svm__extratrees__svm__knn__logreg__xgboost
extratrees+rf+svm+knn+logreg+xgboost,0.9807692307692308,0.9807692307692308,0.9625142891441362,0.981656804733728,0.9775803983687859,./sweep_svm_all/stack_svm__extratrees__rf__svm__knn__logreg__xgboost
extratrees+svm+xgboost,0.976923076923077,0.976923076923077,0.9554629805019701,0.9825443786982249,0.9717492338598099,./sweep_svm_all/stack_svm__extratrees__svm__xgboost
extratrees+logreg+xgboost,0.976923076923077,0.976923076923077,0.9554629805019701,0.9828402366863905,0.9757305815189691,./sweep_svm_all/stack_svm__extratrees__logreg__xgboost
extratrees+rf+svm+xgboost,0.976923076923077,0.976923076923077,0.9554629805019701,0.9807692307692308,0.9710885093054683,./sweep_svm_all/stack_svm__extratrees__rf__svm__xgboost
extratrees+rf+logreg+xgboost,0.976923076923077,0.976923076923077,0.9554629805019701,0.9819526627218934,0.9754117873346286,./sweep_svm_all/stack_svm__extratrees__rf__logreg__xgboost
extratrees+svm+logreg+xgboost,0.976923076923077,0.976923076923077,0.9554629805019701,0.9819526627218936,0.9715755473639348,./sweep_svm_all/stack_svm__extratrees__svm__logreg__xgboost
rf+knn+logreg+xgboost,0.976923076923077,0.976923076923077,0.9554629805019701,0.9789940828402367,0.9739757569654538,./sweep_svm_all/stack_svm__rf__knn__logreg__xgboost
extratrees+rf+svm+logreg+xgboost,0.976923076923077,0.976923076923077,0.9554629805019701,0.981656804733728,0.9714939147108737,./sweep_svm_all/stack_svm__extratrees__rf__svm__logreg__xgboost
extratrees,0.976923076923077,0.976923076923077,0.9552282193687711,0.9902366863905325,0.9943126590185413,./sweep_svm_all/stack_svm__extratrees
extratrees+rf,0.976923076923077,0.976923076923077,0.9552282193687711,0.9801775147928995,0.9710245723810662,./sweep_svm_all/stack_svm__extratrees__rf
extratrees+logreg,0.976923076923077,0.976923076923077,0.9552282193687711,0.9902366863905325,0.9941264026978311,./sweep_svm_all/stack_svm__extratrees__logreg
extratrees+knn+xgboost,0.976923076923077,0.976923076923077,0.9552282193687711,0.9837278106508875,0.978860989543136,./sweep_svm_all/stack_svm__extratrees__knn__xgboost
extratrees+rf+knn+xgboost,0.976923076923077,0.976923076923077,0.9552282193687711,0.9855029585798818,0.9919020336602753,./sweep_svm_all/stack_svm__extratrees__rf__knn__xgboost
extratrees+svm+knn+xgboost,0.976923076923077,0.976923076923077,0.9552282193687711,0.9784023668639052,0.9740162958046833,./sweep_svm_all/stack_svm__extratrees__svm__knn__xgboost
rf+svm+knn+xgboost,0.976923076923077,0.976923076923077,0.9552282193687711,0.9822485207100591,0.9718888051634564,./sweep_svm_all/stack_svm__rf__svm__knn__xgboost
extratrees+rf+svm+knn+xgboost,0.976923076923077,0.976923076923077,0.9552282193687711,0.9781065088757398,0.9701701419585295,./sweep_svm_all/stack_svm__extratrees__rf__svm__knn__xgboost
rf+svm+knn+logreg+xgboost,0.976923076923077,0.976923076923077,0.9552282193687711,0.9763313609467457,0.9668741932532857,./sweep_svm_all/stack_svm__rf__svm__knn__logreg__xgboost
extratrees+svm+knn+logreg,0.9769230769230768,0.976923076923077,0.9549643788740113,0.9881656804733728,0.9930052654791328,./sweep_svm_all/stack_svm__extratrees__svm__knn__logreg
extratrees+knn,0.976923076923077,0.976923076923077,0.9546795840296454,0.9855029585798818,0.9921228616364361,./sweep_svm_all/stack_svm__extratrees__knn
extratrees+rf+knn,0.976923076923077,0.976923076923077,0.9546795840296454,0.9855029585798816,0.9919020336602753,./sweep_svm_all/stack_svm__extratrees__rf__knn
extratrees+svm+knn,0.976923076923077,0.976923076923077,0.9546795840296454,0.9849112426035503,0.9919671526730349,./sweep_svm_all/stack_svm__extratrees__svm__knn
extratrees+xgboost,0.9730769230769232,0.9730769230769232,0.948176910726605,0.9866863905325445,0.9782596972157866,./sweep_svm_all/stack_svm__extratrees__xgboost
extratrees+rf+xgboost,0.9730769230769232,0.9730769230769232,0.948176910726605,0.981656804733728,0.9753011960895837,./sweep_svm_all/stack_svm__extratrees__rf__xgboost
rf+svm+xgboost,0.9730769230769232,0.9730769230769232,0.948176910726605,0.9798816568047337,0.9707610249915586,./sweep_svm_all/stack_svm__rf__svm__xgboost
rf+logreg+xgboost,0.9730769230769232,0.9730769230769232,0.948176910726605,0.9813609467455621,0.9712697755003091,./sweep_svm_all/stack_svm__rf__logreg__xgboost
svm+knn+xgboost,0.9730769230769232,0.9730769230769232,0.948176910726605,0.9710059171597634,0.9516983861323041,./sweep_svm_all/stack_svm__svm__knn__xgboost
svm+logreg+xgboost,0.9730769230769232,0.9730769230769232,0.948176910726605,0.9742603550295857,0.9529633433972615,./sweep_svm_all/stack_svm__svm__logreg__xgboost
rf+svm+logreg+xgboost,0.9730769230769232,0.9730769230769232,0.948176910726605,0.9810650887573964,0.971194360719012,./sweep_svm_all/stack_svm__rf__svm__logreg__xgboost
svm+knn+logreg+xgboost,0.9730769230769232,0.9730769230769232,0.948176910726605,0.971301775147929,0.9519511251377482,./sweep_svm_all/stack_svm__svm__knn__logreg__xgboost
extratrees+knn+logreg,0.973076923076923,0.9730769230769232,0.9471296737595207,0.9860946745562129,0.9922938833653119,./sweep_svm_all/stack_svm__extratrees__knn__logreg
rf,0.9730769230769232,0.9730769230769232,0.9471182819657461,0.9718934911242604,0.9488079432418612,./sweep_svm_all/stack_svm__rf
svm+xgboost,0.9692307692307691,0.9692307692307693,0.9406270004564803,0.9739644970414203,0.9524886525260188,./sweep_svm_all/stack_svm__svm__xgboost
logreg+xgboost,0.9692307692307693,0.9692307692307693,0.94006697332358,0.9715976331360947,0.9602966344318616,./sweep_svm_all/stack_svm__logreg__xgboost
knn+logreg+xgboost,0.9692307692307693,0.9692307692307693,0.94006697332358,0.9701183431952662,0.9587031177861629,./sweep_svm_all/stack_svm__knn__logreg__xgboost
svm+knn,0.9653846153846155,0.9653846153846155,0.9334878702215306,0.9692307692307693,0.9582291437344903,./sweep_svm_all/stack_svm__svm__knn
xgboost,0.9653846153846153,0.9653846153846155,0.9325170630534553,0.9553254437869823,0.9279292080984798,./sweep_svm_all/stack_svm__xgboost
rf+xgboost,0.9653846153846153,0.9653846153846155,0.9325170630534553,0.9733727810650888,0.9554536784590251,./sweep_svm_all/stack_svm__rf__xgboost
knn+xgboost,0.9653846153846153,0.9653846153846155,0.9325170630534553,0.9650887573964496,0.9692402187071776,./sweep_svm_all/stack_svm__knn__xgboost
rf+knn+xgboost,0.9653846153846153,0.9653846153846155,0.9325170630534553,0.984319526627219,0.9913588625456757,./sweep_svm_all/stack_svm__rf__knn__xgboost
rf+knn,0.9653846153846155,0.9653846153846155,0.9319631792580714,0.9834319526627219,0.9786023084545459,./sweep_svm_all/stack_svm__rf__knn
svm+knn+logreg,0.9653846153846153,0.9653846153846155,0.9317336665811308,0.9866863905325445,0.9924953928059518,./sweep_svm_all/stack_svm__svm__knn__logreg
logreg,0.9615384615384615,0.9615384615384617,0.9254007164060548,0.9931952662721895,0.995141295141295,./sweep_svm_all/stack_svm__logreg
svm+logreg,0.9615384615384615,0.9615384615384617,0.9241723645172313,0.9893491124260356,0.9936214896214896,./sweep_svm_all/stack_svm__svm__logreg
knn+logreg,0.9576923076923076,0.9576923076923078,0.9178394143421554,0.984319526627219,0.9916271876271876,./sweep_svm_all/stack_svm__knn__logreg
svm,0.9576923076923078,0.9576923076923078,0.9172928416949677,0.9650887573964496,0.9430518294128376,./sweep_svm_all/stack_svm__svm
