path,label,nuc_area,nuc_perimeter,nuc_circularity,nuc_eccentricity,nuc_solidity,nuc_extent,nuc_major_minor_ratio,nuc_roughness,nuc_convexity,cell_area,cell_perimeter,cell_circularity,cell_eccentricity,cell_solidity,cell_extent,cell_major_minor_ratio,cell_roughness,cell_convexity,ring1_area,ring1_perimeter,ring1_circularity,ring1_eccentricity,ring1_solidity,ring1_extent,ring1_major_minor_ratio,ring1_roughness,ring1_convexity,ring2_area,ring2_perimeter,ring2_circularity,ring2_eccentricity,ring2_solidity,ring2_extent,ring2_major_minor_ratio,ring2_roughness,ring2_convexity,nuc_area_frac,nuc_mean_b,nuc_mean_g,nuc_mean_r,nuc_std_b,nuc_std_g,nuc_std_r,nuc_mean_gray,nuc_std_gray,cell_area_frac,cell_mean_b,cell_mean_g,cell_mean_r,cell_std_b,cell_std_g,cell_std_r,cell_mean_gray,cell_std_gray,ring1_area_frac,ring1_mean_b,ring1_mean_g,ring1_mean_r,ring1_std_b,ring1_std_g,ring1_std_r,ring1_mean_gray,ring1_std_gray,ring2_area_frac,ring2_mean_b,ring2_mean_g,ring2_mean_r,ring2_std_b,ring2_std_g,ring2_std_r,ring2_mean_gray,ring2_std_gray,delta1_mean_b,delta1_std_b,delta2_mean_b,delta2_std_b,delta1_mean_g,delta1_std_g,delta2_mean_g,delta2_std_g,delta1_mean_r,delta1_std_r,delta2_mean_r,delta2_std_r,delta1_mean_gray,delta1_std_gray,delta2_mean_gray,delta2_std_gray,ratio_nuc_cell,ratio_ring1_cell,ratio_ring2_cell,ratio_nuc_ring1,ratio_nuc_ring2,lbp_nuc_00,lbp_nuc_01,lbp_nuc_02,lbp_nuc_03,lbp_nuc_04,lbp_nuc_05,lbp_nuc_06,lbp_nuc_07,lbp_nuc_08,lbp_nuc_09,lbp_nuc_10,lbp_nuc_11,lbp_nuc_12,lbp_nuc_13,lbp_nuc_14,lbp_nuc_15,lbp_nuc_16,lbp_nuc_17,lbp_nuc_18,lbp_nuc_19,lbp_nuc_20,lbp_nuc_21,lbp_nuc_22,lbp_nuc_23,lbp_nuc_24,lbp_nuc_25,lbp_nuc_26,lbp_nuc_27,lbp_nuc_28,lbp_nuc_29,lbp_nuc_30,lbp_nuc_31,lbp_ring1_00,lbp_ring1_01,lbp_ring1_02,lbp_ring1_03,lbp_ring1_04,lbp_ring1_05,lbp_ring1_06,lbp_ring1_07,lbp_ring1_08,lbp_ring1_09,lbp_ring1_10,lbp_ring1_11,lbp_ring1_12,lbp_ring1_13,lbp_ring1_14,lbp_ring1_15,lbp_ring1_16,lbp_ring1_17,lbp_ring1_18,lbp_ring1_19,lbp_ring1_20,lbp_ring1_21,lbp_ring1_22,lbp_ring1_23,lbp_ring1_24,lbp_ring1_25,lbp_ring1_26,lbp_ring1_27,lbp_ring1_28,lbp_ring1_29,lbp_ring1_30,lbp_ring1_31,lbp_ring2_00,lbp_ring2_01,lbp_ring2_02,lbp_ring2_03,lbp_ring2_04,lbp_ring2_05,lbp_ring2_06,lbp_ring2_07,lbp_ring2_08,lbp_ring2_09,lbp_ring2_10,lbp_ring2_11,lbp_ring2_12,lbp_ring2_13,lbp_ring2_14,lbp_ring2_15,lbp_ring2_16,lbp_ring2_17,lbp_ring2_18,lbp_ring2_19,lbp_ring2_20,lbp_ring2_21,lbp_ring2_22,lbp_ring2_23,lbp_ring2_24,lbp_ring2_25,lbp_ring2_26,lbp_ring2_27,lbp_ring2_28,lbp_ring2_29,lbp_ring2_30,lbp_ring2_31,nuc_glcm_contrast,nuc_glcm_homogeneity,nuc_glcm_energy,nuc_glcm_correlation,ring1_glcm_contrast,ring1_glcm_homogeneity,ring1_glcm_energy,ring1_glcm_correlation,ring2_glcm_contrast,ring2_glcm_homogeneity,ring2_glcm_energy,ring2_glcm_correlation
/home/ubuntu/all-idb/dataset/leukemia/Im001_1.tif,1,13180.500000,438.516815,0.861329,0.412495,0.985605,0.746644,1.097743,3.819621,0.939874,13489.000000,437.931030,0.883849,0.406220,0.989292,0.747396,1.094361,3.770647,0.949791,8.500000,33.698483,0.094061,0.990132,0.472222,0.059028,7.135699,11.558485,0.941913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.203964,121.208496,34.628788,77.120224,11.820476,25.722536,14.853046,57.202740,20.202404,0.208664,121.615135,36.035759,77.856087,12.096866,27.095526,15.557549,58.295795,21.263771,0.004700,139.262985,97.097404,109.792206,10.705275,8.184773,11.332447,105.733765,7.744325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-18.054489,1.115201,121.208496,11.820476,-62.468616,17.537762,34.628788,25.722536,-32.671982,3.520599,77.120224,14.853046,-48.531025,12.458078,57.202740,20.202404,0.977477,0.022523,0.000000,43.399349,13367000432640.000000,0.070248,0.047505,0.013466,0.072417,0.005686,0.001870,0.012419,0.074811,0.012868,0.004638,0.002095,0.003965,0.014813,0.003666,0.029476,0.077355,0.051694,0.023715,0.003890,0.022144,0.001795,0.000898,0.004189,0.019376,0.069948,0.021845,0.004414,0.016010,0.071893,0.019002,0.065609,0.156280,0.016234,0.068182,0.000000,0.100649,0.003247,0.000000,0.000000,0.110390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003247,0.126623,0.107143,0.038961,0.000000,0.003247,0.000000,0.000000,0.000000,0.006494,0.136364,0.009740,0.000000,0.000000,0.123377,0.000000,0.110390,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im002_1.tif,1,10314.500000,432.031525,0.694428,0.674848,0.928858,0.670208,1.355093,4.253940,0.894692,10818.000000,426.475189,0.747428,0.629566,0.940532,0.691688,1.287089,4.100344,0.917150,120.000000,143.338089,0.073395,0.991105,0.388350,0.064865,7.514054,13.084918,0.859959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160202,121.583481,27.240690,79.432899,12.017440,20.884783,14.924585,53.600342,17.388346,0.167877,122.499092,30.520451,81.281677,13.110588,25.452574,16.940607,56.182331,20.809927,0.007675,141.610336,98.978134,119.870773,19.039335,12.440615,8.210283,110.075546,10.837965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-20.026855,-7.021895,121.583481,12.017440,-71.737442,8.444168,27.240690,20.884783,-40.437874,6.714302,79.432899,14.924585,-56.475204,6.550381,53.600342,17.388346,0.954281,0.045719,0.000000,20.872763,10499000369152.000000,0.072959,0.048862,0.013239,0.073436,0.004762,0.002667,0.014382,0.084008,0.015049,0.004286,0.002191,0.004953,0.014668,0.003334,0.029717,0.092390,0.047814,0.030479,0.003238,0.021907,0.001810,0.000571,0.004000,0.020478,0.052957,0.020859,0.004286,0.015335,0.051148,0.018954,0.059053,0.166206,0.045726,0.045726,0.000000,0.095427,0.000000,0.000000,0.005964,0.063618,0.003976,0.001988,0.001988,0.000000,0.000000,0.000000,0.017893,0.099404,0.123260,0.027833,0.000000,0.009940,0.001988,0.000000,0.000000,0.009940,0.141153,0.009940,0.000000,0.003976,0.139165,0.003976,0.071571,0.075547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im003_1.tif,1,8237.500000,351.605133,0.837327,0.389763,0.976238,0.740916,1.085876,3.873981,0.931061,8508.500000,353.261963,0.856780,0.360217,0.982109,0.737050,1.071963,3.829750,0.940023,31.500000,69.355339,0.082293,0.957348,0.257143,0.071267,3.460940,12.357329,0.870523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127991,114.044708,21.741774,68.839294,10.332331,17.484451,14.065407,46.346329,15.222781,0.132126,114.763596,24.011894,70.262848,11.258797,21.430033,16.014948,48.186512,18.226019,0.004135,137.014755,94.276756,114.324722,15.323082,10.722299,8.211104,105.143913,9.618054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-22.970047,-4.990751,114.044708,10.332331,-72.534981,6.762153,21.741774,17.484451,-45.485428,5.854302,68.839294,14.065407,-58.797585,5.604727,46.346329,15.222781,0.968703,0.031297,0.000000,30.952030,8387999825920.000000,0.064974,0.050906,0.014902,0.085360,0.004769,0.002027,0.014425,0.075227,0.013114,0.004053,0.002146,0.005842,0.015141,0.004649,0.026586,0.070935,0.039223,0.021817,0.004053,0.019433,0.001192,0.001788,0.003338,0.019194,0.062709,0.022175,0.003457,0.014425,0.072485,0.020863,0.072723,0.166071,0.025830,0.107011,0.003690,0.084871,0.003690,0.000000,0.003690,0.059041,0.003690,0.000000,0.000000,0.000000,0.000000,0.000000,0.011070,0.070111,0.114391,0.022140,0.000000,0.011070,0.000000,0.000000,0.000000,0.003690,0.162362,0.014760,0.003690,0.000000,0.143911,0.007380,0.114391,0.029520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im004_1.tif,1,8204.500000,387.404114,0.686963,0.425086,0.956960,0.730458,1.104785,4.276989,0.851198,8503.500000,368.090393,0.788676,0.382188,0.972941,0.735979,1.082152,3.991679,0.904415,86.000000,84.426407,0.151618,0.892012,0.378855,0.236264,2.212335,9.103933,0.754312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127716,110.546478,21.830227,62.075268,12.205618,21.633423,13.916865,43.975269,17.467340,0.132156,111.471771,24.372475,63.757996,13.181013,25.372993,16.520376,46.075626,20.606186,0.004440,138.085907,97.494843,112.158073,12.370407,12.925207,11.322017,106.487976,9.243314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-27.539429,-0.164789,110.546478,12.205618,-75.664612,8.708216,21.830227,21.633423,-50.082806,2.594849,62.075268,13.916865,-62.512707,8.224027,43.975269,17.467340,0.966401,0.033599,0.000000,28.762886,8369999970304.000000,0.066428,0.040621,0.013142,0.068100,0.005018,0.001434,0.015054,0.077778,0.013978,0.003704,0.001673,0.005496,0.015532,0.003943,0.028196,0.074194,0.041697,0.023178,0.004301,0.022461,0.002031,0.001912,0.004062,0.019952,0.080526,0.022342,0.005018,0.016487,0.070012,0.022461,0.059618,0.169654,0.041237,0.085911,0.003436,0.085911,0.000000,0.003436,0.006873,0.068729,0.010309,0.000000,0.000000,0.000000,0.003436,0.000000,0.017182,0.106529,0.123711,0.024055,0.000000,0.010309,0.000000,0.000000,0.000000,0.003436,0.164948,0.017182,0.000000,0.000000,0.158076,0.006873,0.037801,0.020619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im005_1.tif,1,8224.000000,342.877197,0.879054,0.218993,0.985500,0.775191,1.024878,3.780916,0.949272,8417.000000,345.220337,0.887512,0.212653,0.989072,0.785754,1.023408,3.762857,0.952104,3.000000,104.225395,0.003470,0.928631,0.013857,0.002778,2.695377,60.174561,0.926369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127747,108.241875,20.049690,64.920090,9.113234,13.806428,10.817182,43.516125,11.204846,0.130722,108.486984,21.467024,65.785225,9.476321,16.617605,12.159512,44.634876,13.371099,0.002975,119.010254,82.317947,102.928207,16.317677,12.611003,7.764151,92.666664,10.181767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.768379,-7.204443,108.241875,9.113234,-62.268257,1.195425,20.049690,13.806428,-38.008118,3.053031,64.920090,10.817182,-49.150539,1.023080,43.516125,11.204846,0.977238,0.022762,0.000000,42.933334,8372000129024.000000,0.068084,0.045628,0.013020,0.077759,0.005853,0.002986,0.015409,0.079909,0.016484,0.003703,0.002031,0.004300,0.014333,0.004419,0.026875,0.069756,0.042881,0.024128,0.004539,0.019709,0.002628,0.001075,0.004658,0.022456,0.062351,0.023172,0.005256,0.013378,0.065695,0.019947,0.071070,0.166507,0.000000,0.082051,0.000000,0.071795,0.000000,0.000000,0.000000,0.097436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117949,0.071795,0.005128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.169231,0.000000,0.000000,0.000000,0.158974,0.000000,0.220513,0.005128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im006_1.tif,1,8727.000000,354.048767,0.874880,0.244028,0.982549,0.776700,1.031174,3.789925,0.948040,8994.000000,357.705627,0.883306,0.236389,0.985590,0.778297,1.029168,3.771806,0.950672,10.000000,42.828426,0.068509,1.000000,0.666667,0.227273,999001.000000,13.543538,0.984628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135513,107.720413,21.877041,63.304359,9.757335,16.820564,13.215315,44.045830,14.380368,0.139603,108.497978,23.922396,64.561157,10.679624,20.358152,14.969079,45.711334,17.139698,0.004089,134.264923,91.701492,106.208954,7.395590,6.342854,8.669791,100.902985,6.155169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-26.544510,2.361745,107.720413,9.757335,-69.824448,10.477711,21.877041,16.820564,-42.904594,4.545524,63.304359,13.215315,-56.857155,8.225199,44.045830,14.380368,0.970707,0.029293,0.000000,33.138062,8881000415232.000000,0.067447,0.051571,0.013287,0.079045,0.005630,0.002252,0.014751,0.071614,0.012048,0.002928,0.001126,0.003941,0.013625,0.003265,0.025222,0.065646,0.044927,0.021732,0.003603,0.020718,0.001802,0.001576,0.004054,0.015426,0.074992,0.020043,0.004279,0.014300,0.081860,0.021844,0.075555,0.159892,0.014925,0.074627,0.000000,0.108209,0.000000,0.000000,0.000000,0.097015,0.000000,0.003731,0.000000,0.000000,0.000000,0.000000,0.011194,0.119403,0.100746,0.026119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.130597,0.003731,0.000000,0.000000,0.149254,0.000000,0.145522,0.014925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im007_1.tif,1,9161.500000,447.546234,0.574779,0.763564,0.821291,0.589543,1.548631,4.675786,0.893560,9401.000000,446.132019,0.593550,0.744691,0.826825,0.591109,1.498330,4.601256,0.902814,15.000000,125.941124,0.011884,0.994159,0.082192,0.021186,9.265923,32.517860,0.941680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142746,134.682739,31.389204,89.116196,13.607118,21.033127,16.115213,60.425869,17.488281,0.146393,134.662811,32.910675,89.984154,13.930641,22.964380,16.891687,61.575672,18.821516,0.003647,133.882843,92.464432,123.958160,23.284372,14.697999,10.236447,106.581589,13.108200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.799896,-9.677255,134.682739,13.607118,-61.075226,6.335128,31.389204,21.033127,-34.841965,5.878766,89.116196,16.115213,-46.155720,4.380081,60.425869,17.488281,0.975089,0.024911,0.000000,39.142258,9354999758848.000000,0.064564,0.049813,0.013896,0.083485,0.005345,0.001924,0.014965,0.089043,0.011331,0.004062,0.002031,0.004383,0.011972,0.003100,0.027579,0.106253,0.043399,0.019989,0.004276,0.019455,0.002886,0.001390,0.002779,0.018707,0.064244,0.017745,0.002993,0.012507,0.059540,0.018813,0.059433,0.158097,0.029289,0.033473,0.000000,0.062762,0.000000,0.000000,0.000000,0.046025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012552,0.029289,0.129707,0.033473,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.184100,0.000000,0.000000,0.000000,0.288703,0.000000,0.121339,0.029289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im008_1.tif,1,8592.500000,372.575684,0.777858,0.573040,0.958022,0.657522,1.220215,4.019340,0.932166,8820.000000,377.989899,0.775743,0.565771,0.956720,0.657865,1.212764,4.024815,0.929556,33.000000,167.480225,0.014784,0.758004,0.067347,0.011332,1.533155,29.154566,0.914586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133530,130.650787,26.642670,81.213005,11.405335,18.361532,15.415367,54.813049,15.761348,0.137039,130.583893,28.202427,82.235054,11.497389,20.584089,16.558134,56.027390,17.337976,0.003510,128.039124,87.547829,121.121742,14.344314,10.131091,10.604468,102.230438,9.763016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.611664,-2.938978,130.650787,11.405335,-60.905159,8.230441,26.642670,18.361532,-39.908737,4.810899,81.213005,15.415367,-47.417389,5.998332,54.813049,15.761348,0.974390,0.025610,0.000000,38.047825,8751000059904.000000,0.067649,0.047537,0.013484,0.072335,0.005714,0.002285,0.014056,0.101703,0.012341,0.004114,0.001714,0.004114,0.013827,0.004000,0.025483,0.098389,0.040910,0.027311,0.003885,0.021712,0.001257,0.001486,0.002971,0.021140,0.057136,0.019084,0.003428,0.014398,0.059536,0.015084,0.061250,0.160667,0.030435,0.182609,0.000000,0.047826,0.000000,0.000000,0.000000,0.017391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008696,0.008696,0.200000,0.065217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165217,0.000000,0.000000,0.000000,0.213043,0.000000,0.060870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im009_1.tif,1,11942.000000,448.274170,0.746792,0.629060,0.941650,0.686361,1.286410,4.102090,0.909721,12233.000000,442.960449,0.783453,0.637737,0.950985,0.697992,1.298272,4.004962,0.926254,28.500000,43.698483,0.187552,0.983418,0.619565,0.143939,5.514024,8.185476,0.929814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.185150,134.963745,34.780533,88.694656,10.416718,22.991400,12.972622,62.319267,17.599323,0.189575,135.340149,36.335320,89.383850,10.756609,24.883804,13.635474,63.481167,18.988586,0.004425,151.089661,101.389656,118.220688,12.761157,8.762965,8.512035,112.096550,8.211702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.125916,-2.344440,134.963745,10.416718,-66.609123,14.228435,34.780533,22.991400,-29.526031,4.460587,88.694656,12.972622,-49.777283,9.387621,62.319267,17.599323,0.976658,0.023342,0.000000,41.841381,12133999837184.000000,0.069062,0.052827,0.011950,0.074172,0.005274,0.002143,0.014093,0.076891,0.012444,0.003297,0.001154,0.003873,0.012032,0.002720,0.025713,0.073760,0.052415,0.024312,0.003873,0.021675,0.002720,0.001319,0.003132,0.016400,0.090077,0.021839,0.003214,0.012609,0.076397,0.018378,0.069145,0.141091,0.013793,0.089655,0.000000,0.113793,0.000000,0.000000,0.000000,0.062069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024138,0.179310,0.068966,0.027586,0.003448,0.003448,0.000000,0.000000,0.000000,0.003448,0.100000,0.010345,0.003448,0.003448,0.124138,0.000000,0.082759,0.086207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
/home/ubuntu/all-idb/dataset/leukemia/Im010_1.tif,1,9357.500000,415.404114,0.681441,0.619822,0.945680,0.677932,1.274303,4.294285,0.882888,9598.500000,406.090393,0.731422,0.624798,0.952185,0.684776,1.280760,4.144967,0.911861,35.500000,39.213203,0.290117,0.743267,0.489655,0.273077,1.494779,6.581398,0.854105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.145523,136.045303,32.033447,90.385864,12.479811,21.718046,15.462117,61.338787,17.875130,0.149155,136.127975,33.639385,91.304863,12.831375,23.874363,16.395187,62.564911,19.408440,0.003632,139.441177,97.991600,128.130249,22.582499,16.276495,8.365335,111.697479,13.900036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.395874,-10.102688,136.045303,12.479811,-65.958153,5.441551,32.033447,21.718046,-37.744385,7.096783,90.385864,15.462117,-50.358692,3.975094,61.338787,17.875130,0.975652,0.024348,0.000000,40.071430,9537000046592.000000,0.069414,0.056726,0.013212,0.084828,0.004404,0.001887,0.012373,0.115131,0.010381,0.003565,0.002831,0.004614,0.011639,0.002726,0.026423,0.072140,0.054420,0.026214,0.002936,0.022544,0.002202,0.002097,0.003460,0.019293,0.060082,0.019608,0.003775,0.009961,0.062179,0.017930,0.056726,0.144280,0.025210,0.050420,0.004202,0.029412,0.000000,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.004202,0.000000,0.016807,0.075630,0.113445,0.004202,0.000000,0.004202,0.000000,0.000000,0.000000,0.000000,0.155462,0.000000,0.000000,0.000000,0.336134,0.000000,0.130252,0.021008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
