timestamp,model,fold,accuracy,mcc,auc_roc,pr_auc
2026-02-24 14:59:03,resnet18,Fold_1,0.9423,0.8906,1.0,1.0
2026-02-24 14:59:03,resnet18,Fold_2,0.9808,0.9623,1.0,1.0
2026-02-24 14:59:03,resnet18,Fold_3,0.9808,0.9623,1.0,1.0
2026-02-24 14:59:03,resnet18,Fold_4,0.9615,0.9258,1.0,1.0
2026-02-24 14:59:03,resnet18,Fold_5,0.9615,0.9258,1.0,1.0
2026-02-24 14:59:03,resnet18,MEAN_CV,0.9654,0.9333,1.0,1.0
2026-02-24 15:04:28,vgg16,Fold_1,0.9808,0.9623,1.0,1.0
2026-02-24 15:04:28,vgg16,Fold_2,0.9808,0.9623,1.0,1.0
2026-02-24 15:04:28,vgg16,Fold_3,0.9808,0.9623,1.0,1.0
2026-02-24 15:04:28,vgg16,Fold_4,0.9615,0.9258,1.0,1.0
2026-02-24 15:04:28,vgg16,Fold_5,0.9808,0.9623,1.0,1.0
2026-02-24 15:04:28,vgg16,MEAN_CV,0.9769,0.955,1.0,1.0
2026-02-24 15:07:13,efficientnet_b0,Fold_1,0.9423,0.8906,1.0,1.0
2026-02-24 15:07:13,efficientnet_b0,Fold_2,0.9808,0.9623,1.0,1.0
2026-02-24 15:07:13,efficientnet_b0,Fold_3,0.9808,0.9623,1.0,1.0
2026-02-24 15:07:13,efficientnet_b0,Fold_4,1.0,1.0,1.0,1.0
2026-02-24 15:07:13,efficientnet_b0,Fold_5,1.0,1.0,1.0,1.0
2026-02-24 15:07:13,efficientnet_b0,MEAN_CV,0.9808,0.963,1.0,1.0
2026-02-24 15:10:58,densenet121,Fold_1,0.9423,0.8906,1.0,1.0
2026-02-24 15:10:58,densenet121,Fold_2,0.9615,0.9258,1.0,1.0
2026-02-24 15:10:58,densenet121,Fold_3,1.0,1.0,1.0,1.0
2026-02-24 15:10:58,densenet121,Fold_4,1.0,1.0,1.0,1.0
2026-02-24 15:10:58,densenet121,Fold_5,0.9808,0.9623,1.0,1.0
2026-02-24 15:10:58,densenet121,MEAN_CV,0.9769,0.9557,1.0,1.0
2026-02-24 15:16:24,swin_t,Fold_1,0.75,0.5774,1.0,1.0
2026-02-24 15:16:24,swin_t,Fold_2,0.9808,0.9623,1.0,1.0
2026-02-24 15:16:24,swin_t,Fold_3,1.0,1.0,1.0,1.0
2026-02-24 15:16:24,swin_t,Fold_4,0.8654,0.7588,1.0,1.0
2026-02-24 15:16:24,swin_t,Fold_5,1.0,1.0,1.0,1.0
2026-02-24 15:16:24,swin_t,MEAN_CV,0.9192,0.8597,1.0,1.0
